"Provider Name"," Number of Certified Beds"
"CIMARRON POINTE CARE CENTER",108
"CITADEL ELIZABETH CITY LLC",108
"CITY CREEK POST ACUTE",108
"CLIFTON SPRINGS HOSPITAL AND CLINIC EXTENDED CARE",108
"COASTAL MANOR",108
"COLUMBIA REHABILITATION AND HEALTHCARE CENTER",108
"COMMUNITIES AT INDIAN HAVEN,",108
"CONROE HEALTH CARE CENTER",108
"CONSULATE HEALTH CARE OF LAKELAND",108
"COTTESMORE OF LIFE CARE",108
"COUNTRYSIDE CARE CENTER",108
"CRESTMOOR HEALTH AND REHABILITATION CENTER",108
"CROWN POINT HEALTH SUITES",108
"CYPRESS AT LAKE PROVIDENCE",108
"DESERT TERRACE HEALTHCARE CENTER",108
"EAST GLEN",108
"ELMHURST EXTENDED CARE CENTER",108
"EPSOM HEALTHCARE CENTER",108
"EXCELSIOR SPRINGS NURSING & REHAB",108
"FOUNTAIN BLEU HEALTH AND REHABILITATION CENTER",108
"FOXWOOD SPRINGS LIVING CENTER",108
"GABLES OF BOUTWELLS LANDING",108
"GARDENS HEALTH & REHABILITATION CENTER, THE",108
"HAMILTON TRACE OF FISHERS",108
"HAVENCARE NURSING AND REHABILITATION CENTER LLC",108
"HERITAGE COURT POST ACUTE OF SCOTTSDALE",108
"HERITAGE HEALTHCARE - HAMMOND",108
"HERITAGE OF BEL AIR",108
"HILLEBRAND NURSING AND REHABILITATION CENTER",108
"HILLTOP SKILLED NSG & REHAB",108
"HOLIDAY HILL INC",108
"HUDSON MEMORIAL NURSING HOME",108
"ISLE HEALTH & REHABILITATION CENTER",108
"JENA NURSING AND REHABILITATION CENTER, LLC",108
"KENWOOD TERRACE HEALTHCARE CENTER",108
"KINDRED HOSPITAL - LAS VEGAS (FLAMINGO) - SNF/DP",108
"LANDMARK OF PLAQUEMINE",108
"LAURELS OF HUDSONVILLE (THE)",108
"LAURIE CARE CENTER",108
"LE REVE REHABILITATION & MEMORY CARE",108
"LEGACY POINTE REHABILITATION CENTER",108
"LIFE CARE CENTER OF EAST RIDGE",108
"LIFE CARE CENTER OF HIXSON",108
"LOWRY HILLS CARE AND REHABILITATION",108
"MARSHWOOD CENTER",108
"MEDILODGE OF YALE",108
"MERVYN SHARP BENNION CENTRAL UTAH VETERANS HOME",108
"MOORE-FEW CARE CENTER",108
"MOUNT ASCENSION TRANSITIONAL CARE OF CASCADIA",108
"MT OGDEN HEALTH AND REHABILITATION CENTER",108
"PARKVIEW CARE CENTER",108
"PARKVIEW HEALTH & REHAB CENTER",108
"PARKVIEW NURSING AND REHABILITATION CENTER",108
"PAVILION HEALTH CENTER AT BRIGHTMORE",108
"PROMEDICA TOTAL REHAB + (LAKEWOOD)",108
"PROVIDENCE POINTE HEALTHCARE",108
"PUGET SOUND HEALTHCARE CENTER",108
"REFORMED CHURCH HOME",108
"RIVERCREST LONG TERM CARE",108
"ROCHESTER MANOR",108
"ROSE HAVEN RETREAT",108
"ROSEPINE RETIREMENT & REHAB CENTER, LLC",108
"SAN PABLO HEALTHCARE & WELLNESS CENTER",108
"SEVEN OAKS NURSING & REHABILITATION",108
"SHERMAN VILLAGE HCC",108
"SIGNATURE HEALTHCARE OF CHAPEL HILL",108
"SIGNATURE HEALTHCARE OF ROANOKE RAPIDS",108
"SISKIN SUBACUTE WEST",108
"SOUTHERN UTAH VETERANS HOME - IVINS",108
"ST MARY'S ALZHEIMER'S CENTER",108
"ST PAUL'S SENIOR COMMUNITY",108
"THE KINGS DAUGHTERS AND SONS",108
"THE TIMBERS OF CASS COUNTY",108
"THE VILLAGES OF DALLAS",108
"TRI-COMMUNITY NURSING CENTER",108
"UNIVERSITY PARK NURSING & REHABILITATION CENTER",108
"VISTA PACIFICA CENTER",108
"WESLEY PLACE",108
"WESTMINSTER-CANTERBURY ON CHESAPEAKE BAY",108
"WESTWARD TRAILS NURSING AND REHABILITATION",108
"WESTWOOD NURSING CENTER",108
"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",108
"WINDSOR REHABILITATION AND HEALTHCARE",108
"WOODLANDS THE",108
"ALAMEDA COUNTY MEDICAL CENTER D/P SNF",109
"AUTUMN BREEZE HEALTH AND REHAB",109
"BELLEVIEW VALLEY NURSING HOME",109
"BUTLER COUNTY CARE FACILITY",109
"CARLYLE HEALTHCARE & SR LIVING",109
"CASTLETON HEALTH CARE CENTER",109
"CENTINELA GRAND INC",109
"CHOICE HEALTHCARE AT WAYNESBORO",109
"CHURCH OF GOD HOME, INC",109
"CITYVIEW NURSING AND REHABILITATION CENTER",109
"CLEARWATER CENTER",109
"CLOVER MANOR",109
"COUNTRYSIDE HEALTH CARE OF MILFORD",109
"COUNTRYSIDE MANOR HEALTH & LIVING COMMUNITY",109
"COURTYARD GARDENS",109
"DEERINGS NURSING AND REHABILITATION LP",109
"EASTBROOK HEALTHCARE CENTER",109
"EDMOND HEALTH CARE CENTER",109
"EVERGREEN CROSSING AND THE LOFTS",109
"FRANCIS MARION MANOR HEALTH & REHABILITATION",109
"FULTON CENTER FOR REHABILITATION LLC",109
"FUTURE CARE CHARLES VILLAGE",109
"GARLAND NURSING AND REHABILITATION",109
"GRAND COVE NURSING & REHABILITATION CENTER",109
"GRANDVIEW HEIGHTS INC",109
"HARMON HOUSE CARE CENTER",109
"HERITAGE MANOR OF OPELOUSAS",109
"HIAWATHA CARE CENTER",109
"KANSAS MASONIC HOME",109
"KELLER LANDING",109
"LAKEBRIDGE, A WATERS COMMUNITY, LLC",109
"LAURELS OF MT VERNON THE",109
"LEE COUNTY CARE AND REHABILITATION CENTER",109
"LIFE CARE CENTER OF IDAHO FALLS",109
"LONG VIEW CENTER FOR REHABILITATION AND HEALTHCARE",109
"MORAVIAN VILLAGE OF BETHLEHEM",109
"MT AIRY GARDENS REHABILITATION AND NURSING CENTER",109
"NSPIRE HEALTHCARE LAUDERHILL",109
"OAK HILL HEALTH & REHABILITATION",109
"PACIFIC CARE AND REHABILITATION",109
"PAOLI HEALTH AND LIVING COMMUNITY",109
"PEARL PAVILION",109
"PFLUGERVILLE NURSING AND REHABILITATION CENTER",109
"PLEASANT MEADOWS SENIOR LIVING",109
"PROMEDICA TOTAL REHAB + (WILLOW GROVE)",109
"QUALITY LIFE SERVICES - GROVE CITY",109
"REHABILITATION CENTER OF THE PALM BEACHES,THE",109
"RIM COUNTRY HEALTH & RETIREMENT COMMUNITY",109
"RIVER CROSSING OF ST CHARLES",109
"SAINT ANNE EXTENDED HEALTHCARE",109
"SAINT SIMEONS EPISCOPAL HOME",109
"SHELBYVILLE MANOR",109
"SHORE ACRES CARE CENTER",109
"SPRING CREEK HEALTH & REHAB",109
"SPRINGS AT BOCA CIEGA BAY",109
"SPRINGS AT THE WATERMARK, THE",109
"STEARNS NURSING & REHAB CENTER",109
"THE LAKES AT TEXAS CITY",109
"THE LAURELS OF MIDDLETOWN",109
"TRUMAN HEALTHCARE & REHABILITATION CENTER",109
"VALLEY HEALTHCARE CENTER",109
"VILLA HEALTH CARE EAST",109
"WARREN BARR LINCOLN PARK",109
"WASHITA VALLEY LIVING CENTER",109
"WAYNESBORO HEALTH AND REHABILITATION CENTER",109
"WESLACO NURSING AND REHABILITATION CENTER",109
"WHITE OAK MANOR - YORK",109
"ACCEL AT WILLOW BEND",110
"ACCORDIUS HEALTH AT WILSON",110
"ADVENTHEALTH CARE CENTER ORLANDO EAST",110
"ALDEN DES PLAINES REHAB & HC",110
"APERION CARE PEORIA HEIGHTS",110
"APPLE REHAB WATERTOWN",110
"ARIA NURSING AND REHAB",110
"AUTUMN CARE OF MARION",110
"AUTUMN CARE OF MARSHVILLE",110
"AUTUMN CARE OF SUFFOLK",110
"AUTUMN LAKE HEALTHCARE AT WAUGH CHAPEL",110
"AVANTE AT MELBOURNE INC",110
"BAY VIEW NURSING & REHABILITATION CENTER",110
"BAY VUE NURSING AND REHABILITATION CENTER",110
"BAYBERRY COMMONS",110
"BAYLEY PLACE",110
"BEACHSIDE POST ACUTE",110
"BEECH TREE HEALTH AND REHABILITATION",110
"BELVEDERE NURSING AND REHABILITATION CENTER, LLC",110
"BEN HUR HEALTH AND REHABILITATION",110
"BEST CARE NURSING & REHAB CTR",110
"BORGER HEALTHCARE CENTER",110
"BRENDAN HOUSE",110
"BRICKYARD HEALTHCARE– SYCAMORE VILLAGE CARE CENTER",110
"BROOKHAVEN NURSING & REHABILITATION CENTER",110
"CAL TURNER REHAB AND SPECIALTY CARE",110
"CARE AGE OF BROOKFIELD",110
"CARE ONE AT RIDGEWOOD AVENUE",110
"CELINA MANOR",110
"CHEROKEE COUNTY NURSING CENTER",110
"CHERRY RIDGE",110
"CLIFTON OAKS CARE AND REHAB CENTER, LLC",110
"COLONIAL OAKS LIVING CENTER",110
"COLUMBUS COLONY ELDERLY CARE",110
"COMMUNITY SKILLED HEALTH CARE",110
"CORAL HARBOR REHABILITATION AND HEALTHCARE CENTER",110
"CORDELL CHRISTIAN HOME",110
"CRANE NURSING & REHABILITATION CENTER",110
"CROASDAILE VILLAGE",110
"CROSSROADS CARE CENTER OF KENOSHA",110
"CRYSTAL REHABILITATION AND HEALTHCARE CENTER",110
"DANVILLE REGIONAL REHABILITATION",110
"DARDANELLE NURSING AND REHABILITATION CENTER,INC",110
"DESOTO LTC PARTNERS, INC",110
"DUNDEE MANOR, LLC",110
"EASTGATE VILLAGE RETIREMENT CENTER",110
"EDENBROOK OF OSHKOSH",110
"EDGEWOOD MANOR",110
"FRANCISCAN VILLA",110
"FRANCISCAN WOODS",110
"GARDEN ISLE HEALTHCARE AND REHABILITATION CENTER",110
"GARDENS AT MILLVILLE, THE",110
"GOOD SAMARITAN HEALTH AND REHAB CENTER",110
"GRANT REHABILITATION AND CARE CENTER",110
"GREEN KNOLLS AT BELOIT (THE)",110
"GREEN MEADOWS HLTH & WELLNESS CTR",110
"GREEN VALLEY REHABILITATION HEALTH CENTER",110
"GRENADA LIVING CENTER",110
"GUARDIAN HEALTHCARE AND REHABILITATION CENTER",110
"GUILFORD HEALTH CARE CENTER",110
"HARCOURT TERRACE NURSING AND REHABILITATION",110
"HARRISON TERRACE",110
"HENDERSONVILLE HEALTH AND REHABILITATION",110
"HENDRIX HEALTH AND REHABILITATION",110
"HERITAGE GARDENS HEALTH CARE CENTER",110
"HICKORY HOUSE NURSING HOME",110
"JASPER COUNTY NH",110
"KINGSTON OF ASHLAND",110
"LAKE WINONA MANOR",110
"LAKEPOINT WICHITA, LLC",110
"LEBANON CENTER, GENESIS HEALTHCARE",110
"LECOM AT VILLAGE SQUARE, LLC",110
"LEE HEALTH AND REHAB CENTER",110
"LIBERTY HEALTH CARE CENTER INC",110
"LIFE CARE CENTER OF MCMINNVILLE",110
"LIFE CARE CENTER OF OSAWATOMIE",110
"LIFE CARE CENTER OF VALPARAISO",110
"LINDEN PLACE HEALTH AND REHABILITATION CENTER",110
"LIONS GATE",110
"LOFLAND PARK CENTER",110
"LOMPOC VALLEY MEDICAL CTR COMP CARE CTR D/P SNF",110
"MAPLE LAWN NURSING HOME",110
"MEDICALODGES BUTLER",110
MILLCROFT,110
"MILLER'S MERRY MANOR",110
"MISSION POINT NSG & PHY REHAB CTR OF WOODWARD",110
"MONTGOMERY NURSING & REHAB CTR",110
"MOTION PICTURE AND T.V. HOSP D/P SNF",110
"MOUNT ST FRANCIS NURSING CENTER",110
"MOUNTAIN MEADOWS HEALTH AND REHABILITATION",110
"NEWTON WELLESLEY CENTER FOR ALZHEIMER'S CARE",110
"NHC HEALTHCARE, SEQUATCHIE",110
"NOBLE HEALTH CARE CENTER",110
"ORLANDO HEALTH CENTER FOR REHABILITATION",110
"PAPILLION MANOR",110
"PAUL HOUSE & HEALTH CR CTR",110
"PEAK RESOURCES-WILMINGTON, INC",110
"PELICAN HEALTH REIDSVILLE",110
"PINK BUD HOME FOR THE GOLDEN YEARS",110
"PIQUA MANOR",110
"PONDEROSA NURSING AND REHABILITATION CENTER",110
"PROMEDICA SKILLED NURSING & REHAB (BETHESDA)",110
"PROMEDICA SKILLED NURSING & REHAB (BRIGHTWOOD)",110
"PROVIDENCE HEALTHCARE",110
PRUITTHEALTH-NEUSE,110
"RAWLINS HOUSE HEALTH & LIVING COMMUNITY",110
"REGENCY CENTER",110
"RIDGECREST REHAB & SKILLED NURSING CENTER",110
"RIDGEWOOD TERRACE NURSING HOME",110
"ROBINSON NURSING AND REHABILITATION CENTER LLC",110
"ROSEBUD VILLAGE",110
SALEMHAVEN,110
"SANTA ROSA CENTER FOR REHABILITATION AND HEALING",110
"SEA BREEZE REHAB AND NURSING CENTER",110
"SELLERSBURG HEALTHCARE CENTER",110
"SEMINOLE PIONEER NURSING HOME",110
"SIGNATURE HEALTHCARE AT ROCKFORD REHAB & WELLNESS",110
"SIGNATURE HEALTHCARE OF HARTFORD REHAB & WELLNESS",110
"SILVERSTONE PLACE",110
"SKLD LIVONIA",110
"SOUTH HILLS REHABILITATION CEN",110
"SPRINGTREE REHABILITATION & HEALTH CARE CENTER",110
"ST ELIZABETH'S PLACE",110
"ST JAMES WELLNESS REHAB VILLAS",110
"ST JOHNSBURY HEALTH & REHAB",110
"ST JOSEPH SENIOR LIVING",110
"SUMMIT REHABILITATION AND CARE COMMUNITY",110
"THE ARBORS HEALTHCARE AND REHABILITATION CENTER",110
"THE BLOSSOMS AT ROGERS REHAB & NURSING CENTER",110
"THE HILLS NURSING & REHABILITATION",110
"THE OAKS-BREVARD",110
"THE REGENCY SKILLED NURSING AND THERAPY",110
"THE SPRINGS OF PINNACLE MOUNTAIN",110
"THE VILLA AT THE BAY",110
"THE VILLAGES AT SOUTHERN HILLS",110
"THREE OAKS HEALTH SERVICES",110
"THREE RIVERS HEALTHCARE AND REHABILITATION",110
"TIMBER POINT HEALTHCARE CENTER",110
"TOLEDO HEALTHCARE",110
"TRINITY NEUROLOGIC REHABILITATION CENTER",110
"TWIN VIEW HEALTH AND REHAB",110
"UINTAH HEALTH CARE SPECIAL SERVICE DISTRICT",110
"VILLA MANOR CARE CENTER",110
"VILLA SPRINGFIELD REHABILITATION AND HEALTHCARE CE",110
"WARRENTON HEALTH AND REHAB",110
"WEBSTER PARK REHABILITATION AND HEALTHCARE CENTER",110
"WESTERN HILLS RETIREMENT VILLAGE",110
"WESTGATE HILLS REHABILITATION AND NURSING CTR",110
"WESTRIDGE NURSING AND REHABILITATION",110
"WILLOW PARK REHABILITATION HEALTH CARE CENTER",110
"WOODLAND OAKS",110
"YOAKUM NURSING AND REHABILITATION CENTER",110
"ZACHARY MANOR NURSING AND REHABILITATION CENTER",110
"ACCORDIUS HEALTH AT ROSE MANOR LLC",111
"ALTERCARE OF WADSWORTH",111
"AUBURN VILLAGE",111
"AUTUMN CARE OF ALTAVISTA",111
"AVAMERE REHABILITATION OF OREGON CITY",111
"BENTLEY REHABILITATION AND HEALTH CENTER",111
"BETHANY AT PACIFIC",111
"BREWER CENTER FOR HEALTH & REHABILITATION, LLC",111
"BRIARCLIFF HEALTH & REHABILITATION CENTER",111
"CITIZENS MEMORIAL HEALTHCARE FACILITY",111
"CITRUS HEALTH AND REHABILITATION CENTER",111
"COLUMBIA CREST CENTER",111
"COMPLETE CARE AT CHESTNUT HILL",111
"COUNTRY CENTER FOR HEALTH & REHABILITATION",111
"COUNTRYSIDE ESTATES",111
"ELBA NURSING AND REHABILITATION CENTER, LLC",111
"ELKINS REGIONAL CONVALESCENT CENTER",111
"ENVOY OF ALEXANDRIA, LLC",111
"FREEDOM PLAZA CARE CENTER",111
"GOLDEN YEARS HOMESTEAD",111
"JERSEYVILLE NSG & REHAB CENTER",111
"LAURELS OF ATHENS, THE",111
"LEXINGTON COUNTRY PLACE",111
"MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER",111
"MEDILODGE OF MILFORD",111
"OAKWOOD HEALTH AND REHAB CENTER",111
"PEACHTREE CENTRE",111
"PFLUGERVILLE CARE CENTER",111
"PINE RIDGE - A REHABILITATION AND NURSING CENTER",111
"PRESTIGE CARE CENTER OF PLATTSMOUTH",111
"RESIDENCE AT SALEM WOODS",111
"RIDGEVIEW HEALTHCARE & REHAB CENTER",111
"RIVERTON REHABILITATION AND HEALTHCARE CENTER",111
"ROCHESTER EAST HEALTH SERVICES",111
"RULEVILLE NURSING AND REHABILITATION CENTER LLC",111
"SACHEM CENTER FOR HEALTH & REHABILITATION",111
"SANTA RITA NURSING & REHABILITATION CENTER",111
"SKYLINE TRANSITIONAL CARE CENTER",111
"SOUTH RIVER HEALTHCARE CENTER",111
"SOUTHERN PINES HEALTH AND REHAB",111
"SUNNY ACRES NURSING HOME",111
"TALLASSEE HEALTH AND REHABILITATION, LLC",111
"UNIVERSITY CROSSING",111
"VILLA AT PALOS HEIGHTS",111
"WATERVILLE CENTER FOR HEALTH AND REHAB",111
"WAYNESBURG HEALTHCARE AND REHABILITATION CENTER",111
"WILKESBORO HEALTH AND REHABILITATION",111
"WILLOW CARE REHABILITATION & HEALTH CARE CENTER",111
"ARBORS AT MILFORD",112
"AUGUSTA NURSING & REHAB CENTER",112
"AUTUMN LAKE HEALTHCARE AT GREENFIELD",112
"AUTUMN LAKE HEALTHCARE AT HOMEWOOD",112
"AVANTARA OF ELGIN",112
"AYDEN HEALTHCARE OF FAIRFIELD",112
"AZRIA HEALTH LONGVIEW",112
"BAY POINTE REHABILITATION AND NURSING",112
"BEL AIR AT TERAVISTA",112
"BREESE NURSING HOME",112
"BRIA OF CHICAGO HEIGHTS",112
"BRIAN CENTER HEALTH & REHAB/EDEN",112
"BRIARWOOD VILLAGE",112
"BURLESON ST JOSEPH MANOR",112
CARRARA,112
"CARVALHO GROVE HEALTH AND REHABILITATION CENTER",112
"CEDARS AT ST LOUIS PARK,  A VILLA CENTER",112
"CHATUGE REGIONAL NURSING HOME",112
"COLUMBINE MANOR CARE CENTER",112
"CORONADO AT STONE OAK",112
"COURTYARD HEALTH CARE CENTER",112
"COURTYARD OF NATCHITOCHES",112
"CRYSTAL PINES REHAB & HCC",112
"DOVER CENTER FOR HEALTH & REHABILITATION",112
"EMERALD CARE CENTER SOUTHWEST LLC",112
"ESTATES AT SHAVANO PARK",112
"EVERGREEN COMMUNITY OF JOHNSON COUNTY",112
"FAITH MEMORIAL NURSING HOME",112
"FOCUSED CARE AT MIDLAND",112
"FOCUSED CARE OF GILMER",112
"GAINESVILLE CONVALESCENT CENTER",112
"GALLERIA RESIDENCE AND REHABILITATION CENTER",112
"GAMMA ROAD LODGE",112
"GAYMONT CARE AND REHABILITATION",112
"GLASGOW HEALTH AND REHABILITATION CENTER",112
"HARRODSBURG HEALTH & REHABILITATION CENTER",112
"HAVEN OF LAKESIDE",112
"HAVEN OF SEDONA",112
"HEALTHPARK CARE CENTER",112
"HIDDEN LAKE CARE CENTER",112
"HIGHLAND MANOR OF MESQUITE",112
HOLLYMEAD,112
"HUNTINGTON HEALTH CARE & REHABILITATION CENTER",112
"HURON CO MED CARE FACILITY",112
"LAGNIAPPE HEALTHCARE",112
"LAKE VILLAGE NURSING AND REHABILITATION CENTER",112
"MEADOW VIEW NURSING AND REHABILITATION",112
"MEDILODGE OF SHORELINE",112
"MEMORIAL GABLES",112
"MONTGOMERY COUNTY NURSING HOME",112
"MORGANTOWN CARE & REHABILITATION CENTER",112
"NEVILLE CENTER AT FRESH POND FOR NURSING & REHAB",112
"NEW MADRID LIVING CENTER",112
"NHC HEALTHCARE ROSSVILLE",112
"NHC-MAURY REGIONAL TRANSITIONAL CARE CENTER",112
"NORTHGATE UNIT OF LAKEVIEW CHRISTIAN NURSING",112
"OAKS NURSING CENTER",112
"ORANGE HEALTHCARE & WELLNESS CENTRE, LLC",112
"PACIFIC HEALTH AND REHABILITATION",112
"PARK PLACE CARE CENTER",112
"PATHWAYS NURSING AND REHABILITATION CENTER",112
"PAVILION OF WAUKEGAN",112
"PERRY GREEN VALLEY NURSING CENTER, LLC",112
"PERSIMMON RIDGE REHABILITATION CENTRE",112
"PLEASANT VALLEY NURSING CENTER",112
"PRUITTHEALTH - SHEPHERD HILLS",112
"REGENCY COUPEVILLE REHAB AND NURSING CENTER",112
"REHABILITATION CENTER AT HARTSFIELD VILLAGE",112
"RETAMA MANOR/LAREDO SOUTH",112
"RICHFIELD A VILLA CENTER",112
"RIDGECREST COMMUNITY CARE CENTER",112
"RIDGEVIEW POST ACUTE",112
"RIDGEWAY MANOR HEALTHCARE CENTER",112
"RINGGOLD NURSING AND REHABILITATION CENTER, LLC",112
"RIVER POINTE POST-ACUTE",112
"ROCKY MOUNTAIN CARE - WILLOW SPRINGS",112
"ROSE MOUNTAIN CARE CENTER",112
"SABINO CANYON REHABILITATION & CARE CENTER",112
"SAINT MARY'S VILLA NURSING HOM",112
"SALEM CENTER",112
"SAN REMO",112
"SIGNATURE HEALTH OF PORTLAND REHAB & WELLNESS CENT",112
"SIGNATURE HEALTHCARE OF ELIZABETHTOWN",112
"SILVER SPRINGS HEALTH CARE CENTER",112
"SOLERA AT WEST HOUSTON",112
SORRENTO,112
"SOUTHWIND NURSING & REHABILITATION CENTER",112
"ST MARGARET'S DAUGHTERS HOME",112
"STAMFORD RESIDENCE AND REHABILITATION CENTER",112
"STILLWATER CREEK SKILLED NURSING AND THERAPY",112
"SUPERIOR HEALTH & REHAB, LLC",112
"THE BELMONT AT TWIN CREEKS",112
"THE BROADMOOR AT CREEKSIDE PARK",112
"THE CARLYLE AT STONEBRIDGE PARK",112
"THE CRESCENT",112
"THE LAURELS OF GAHANNA",112
"TOPANGA TERRACE",112
"TWIN RIVERS HEALTH AND REHABILITATION",112
"VERSAILLES REHABILITATION AND HEALTH CARE CENTER",112
"WATERTOWN HEALTH CARE CENTER",112
"WAYNE CENTER",112
"WESTMINSTER TERRACE",112
"WHISPERING PINES NURSING AND REHAB",112
"WINDEMERE AT WESTOVER HILLS",112
"WINDSOR HILLS NURSING CENTER",112
"WOODBURY WELLNESS CENTER INC",112
"YAKIMA VALLEY SCHOOL",112
"AMERICAN HEALTH COMMUNITIES OF CLARKSVILLE",113
"ARCADIA CARE JACKSONVILLE",113
"ARLINGTON COURT NURSING & REHABILITATION CENTER",113
"ATHERTON BAPTIST HOME",113
"AUTUMN LAKE HEALTHCARE AT LOCH RAVEN",113
"AVALON PLACE",113
"BARFIELD HEALTH CARE",113
"CARE ONE AT CRESSKILL",113
"CEDAR CREST/MOUNTAINVIEW GARDENS",113
"CITADEL OF SKOKIE, THE",113
"EDISTO POST ACUTE",113
"ELLEN SAGAR NURSING CENTER",113
"FAUQUIER HEALTH REHABILITATION & NURSING CENTER",113
"GOOD SAMARITAN SOCIETY - IDAHO FALLS VILLAGE",113
"GRANDVUE MEDICAL CARE FACILITY",113
"HEMET VALLEY HEALTHCARE CENTER",113
"HOLY TRINITY EASTERN ORTHODOX N & R CENTER",113
"KAPLAN HEALTHCARE CENTER",113
"KINGSTON OF MIAMISBURG",113
"LIFE CARE CENTER OF NEW PORT RICHEY",113
"LUTHERAN NURSING HOME",113
"MERRY HEART NURSING HOME",113
"MONTE VISTA HILLS HEALTHCARE CENTER",113
"NORTHWAY HEALTH AND REHABILITATION, LLC",113
"OWEN VALLEY HEALTH CAMPUS",113
"PALOLO CHINESE HOME",113
"PLAZA WEST",113
"PROMEDICA SKILLED NURSING AND REHAB (LYNNWOOD)",113
"PRUITTHEALTH - GREENVILLE",113
"REHABILITATION CENTER OF LAKE CITY, THE",113
"RETAMA MANOR NURSING CENTER/HARLINGEN",113
"RIVER BEND NURSING AND REHABILITATION",113
"ROYAL MEADOW VIEW CENTER",113
"SOLARIS HEALTHCARE IMPERIAL",113
"SOLIVITA OF STRATFORD",113
"SUMMIT VIEW OF FARRAGUT, LLC",113
"SYMPHONY NORTHWOODS",113
"TALLAHASSEE MEMORIAL HOSPITAL EXTENDED CARE",113
"THE MEADOWS",113
"WALNUT SPRINGS HEALTH AND REHABILITATION",113
"WHITEHALL REHAB & NURSING",113
"WILLOW CREST NURSING PAVILION",113
"WINDSOR REDDING CARE CENTER",113
"WINDSOR ROSEWOOD CARE CENTER",113
"AMHERST MANOR NURSING HOME",114
"ANCHOR LODGE NURSING HOME INC",114
"APPLE CREEK HEALTH AND REHAB, LLC",114
"ARDEN PLACE OF RICHLAND HILLS",114
"ASCENSION LIVING ALEXIAN VILLAGE TENNESSEE",114
"ASHBROOK CARE & REHABILITATION CENTER",114
"AUTUMN HILL",114
"AVALON PLACE KIRBYVILLE",114
"AVERA PRINCE OF PEACE",114
"BALLINGER HEALTHCARE AND REHABILITATION CENTER",114
"BETHEL POINTE HEALTH AND REHAB",114
"BETZ NURSING HOME",114
"BRICKYARD HEALTHCARE - BRENTWOOD CARE CENTER",114
"CAMARILLO HEALTHCARE CENTER",114
"CAMBRIDGE LTC PARTNERS INC",114
"CHRISTIAN HEALTH CENTER",114
"COLLIERVILLE NURSING AND REHABILITATION, LLC",114
"COMPLETE CARE AT MERCERVILLE LLC",114
"CONSOLATA HOME",114
"CONSULATE HEALTH CARE OF WINDSOR",114
"CONTINUING HEALTHCARE AT ADAMS LANE",114
"CORDOVA HEALTH AND REHABILITATION, LLC",114
"DADE COUNTY NURSING HOME DISTRICT",114
"EAGLE PASS NURSING AND REHABILITATION",114
"EAGLE VALLEY MEADOWS",114
"EBENEZER RIDGES GERIATRIC CARE CENTER",114
"ELIOT CENTER FOR HEALTH & REHABILITATION",114
"FAIR OAKS HEALTH AND REHABILITATION",114
"FAIRMOUNT HOMES",114
"FOREST GROVE REHABILITATION AND CARE CENTER",114
"FOREST PARK NURSING AND REHABILITATION",114
"FRANKLIN MEADOWS",114
"GOLDEN AGE OF WELSH, LLC",114
"GRAND VILLAGE",114
"GREEN COUNTRY CARE CENTER",114
"GREENBRIER HEALTH CARE CENTER",114
"GRIMES YNHCC",114
"HEALTHCARE AND REHAB OF SANFORD",114
"HEATHERWOOD REHABILITATION & HEALTH CARE CENTER",114
"HERITAGE MANOR OF FRANKLINTON",114
"HIGHLAND PARK HEALTH CARE",114
"HILLCREST SHADOW LAKE LLC",114
"HORNELL GARDENS, L L C",114
"LIFE CARE CTR OF COOS BAY",114
"MAGGIE VALLEY NURSING AND REHABILITATION",114
"MAPLE LAWN MEDICAL CARE FACILI",114
"MAPLE LEAF HEALTH CARE CENTER",114
"MEDICALODGES NEOSHO",114
"MEDILODGE OF SAULT STE MARIE",114
"MILLER'S MERRY MANOR",114
"MILLER'S SENIOR LIVING COMMUNITY",114
"MISSION POINT NSG & PHYS REHAB CENTER OF GRANDVILL",114
"MOUNTAIN VIEW CONV HOSP",114
"NEW HOPE MANOR",114
"NEWBURGH HEALTH CARE",114
"NHC HEALTHCARE, SMITHVILLE",114
"NHC HEALTHCARE, WEST PLAINS",114
"O'NEILL HEALTHCARE LAKEWOOD",114
"OAK RIDGE MANOR",114
"OLDE KNOX COMMONS AT THE VILLAGES OF MECKLENBURG",114
"PARK PLACE MANOR",114
"PERRY COUNTY NURSING HOME",114
"PIEDMONT CROSSING",114
"PILLAR OF CEDAR VALLEY",114
"PROMENADE HEALTH AND REHABILITATION",114
"QUALITY LIFE SERVICES - CHICORA",114
"QUALITY LIFE SERVICES - SUGAR CREEK",114
"RYDAL PARK OF PHILADELPHIA PRS",114
"SENIOR CARE HEALTH AND REHABILITATION CENTER - DAL",114
"SHAWNEE CARE CENTER",114
"SHORELINE HEALTH AND REHABILITATION",114
"SILVER PINES NURSING AND REHABILITATION CENTER",114
"SOUTHBROOK HEALTHCARE, INC",114
"SPRINGFIELD MASONIC COMMUNITY",114
"SPRINGMEADE HEALTHCENTER",114
"TARPON BAYOU CENTER",114
"THE CARROLTON OF PLYMOUTH",114
"THE CONCIERGE",114
"THE OASIS AT ADRIAN REHABILITATION AND NURSING CTR",114
"THE VILLA AT THE PARK",114
